season,round,raceName,circuitId,lat,long,country,date,url
2016,2,Bahrain Grand Prix,bahrain,26.0325,50.5106,Bahrain,03/04/2016,http://en.wikipedia.org/wiki/2016_Bahrain_Grand_Prix
2016,3,Chinese Grand Prix,shanghai,31.3389,121.22,China,17/04/2016,http://en.wikipedia.org/wiki/2016_Chinese_Grand_Prix
2016,4,Russian Grand Prix,sochi,43.4057,39.9578,Russia,01/05/2016,http://en.wikipedia.org/wiki/2016_Russian_Grand_Prix
2016,5,Spanish Grand Prix,catalunya,41.57,2.26111,Spain,15/05/2016,http://en.wikipedia.org/wiki/2016_Spanish_Grand_Prix
2016,6,Monaco Grand Prix,monaco,43.7347,7.42056,Monaco,29/05/2016,http://en.wikipedia.org/wiki/2016_Monaco_Grand_Prix
2016,7,Canadian Grand Prix,villeneuve,45.5,-73.5228,Canada,12/06/2016,http://en.wikipedia.org/wiki/2016_Canadian_Grand_Prix
2016,8,European Grand Prix,baku,40.3725,49.8533,Azerbaijan,19/06/2016,http://en.wikipedia.org/wiki/2016_European_Grand_Prix
2016,9,Austrian Grand Prix,red_bull_ring,47.2197,14.7647,Austria,03/07/2016,http://en.wikipedia.org/wiki/2016_Austrian_Grand_Prix
2016,10,British Grand Prix,silverstone,52.0786,-1.01694,UK,10/07/2016,http://en.wikipedia.org/wiki/2016_British_Grand_Prix
2016,11,Hungarian Grand Prix,hungaroring,47.5789,19.2486,Hungary,24/07/2016,http://en.wikipedia.org/wiki/2016_Hungarian_Grand_Prix
2016,12,German Grand Prix,hockenheimring,49.3278,8.56583,Germany,31/07/2016,http://en.wikipedia.org/wiki/2016_German_Grand_Prix
2016,13,Belgian Grand Prix,spa,50.4372,5.97139,Belgium,28/08/2016,http://en.wikipedia.org/wiki/2016_Belgian_Grand_Prix
2016,14,Italian Grand Prix,monza,45.6156,9.28111,Italy,04/09/2016,http://en.wikipedia.org/wiki/2016_Italian_Grand_Prix
2016,15,Singapore Grand Prix,marina_bay,1.2914,103.864,Singapore,18/09/2016,http://en.wikipedia.org/wiki/2016_Singapore_Grand_Prix
2016,16,Malaysian Grand Prix,sepang,2.76083,101.738,Malaysia,02/10/2016,http://en.wikipedia.org/wiki/2016_Malaysian_Grand_Prix
2016,17,Japanese Grand Prix,suzuka,34.8431,136.541,Japan,09/10/2016,http://en.wikipedia.org/wiki/2016_Japanese_Grand_Prix
2016,18,United States Grand Prix,americas,30.1328,-97.6411,USA,23/10/2016,http://en.wikipedia.org/wiki/2016_United_States_Grand_Prix
2016,19,Mexican Grand Prix,rodriguez,19.4042,-99.0907,Mexico,30/10/2016,http://en.wikipedia.org/wiki/2016_Mexican_Grand_Prix
2016,20,Brazilian Grand Prix,interlagos,-23.7036,-46.6997,Brazil,13/11/2016,http://en.wikipedia.org/wiki/2016_Brazilian_Grand_Prix
2016,21,Abu Dhabi Grand Prix,yas_marina,24.4672,54.6031,UAE,27/11/2016,http://en.wikipedia.org/wiki/2016_Abu_Dhabi_Grand_Prix
2017,1,Australian Grand Prix,albert_park,-37.8497,144.968,Australia,26/03/2017,http://en.wikipedia.org/wiki/2017_Australian_Grand_Prix
2017,2,Chinese Grand Prix,shanghai,31.3389,121.22,China,09/04/2017,http://en.wikipedia.org/wiki/2017_Chinese_Grand_Prix
2017,3,Bahrain Grand Prix,bahrain,26.0325,50.5106,Bahrain,16/04/2017,http://en.wikipedia.org/wiki/2017_Bahrain_Grand_Prix
2017,4,Russian Grand Prix,sochi,43.4057,39.9578,Russia,30/04/2017,http://en.wikipedia.org/wiki/2017_Russian_Grand_Prix
2017,5,Spanish Grand Prix,catalunya,41.57,2.26111,Spain,14/05/2017,http://en.wikipedia.org/wiki/2017_Spanish_Grand_Prix
2017,6,Monaco Grand Prix,monaco,43.7347,7.42056,Monaco,28/05/2017,http://en.wikipedia.org/wiki/2017_Monaco_Grand_Prix
2017,7,Canadian Grand Prix,villeneuve,45.5,-73.5228,Canada,11/06/2017,http://en.wikipedia.org/wiki/2017_Canadian_Grand_Prix
2017,8,Azerbaijan Grand Prix,baku,40.3725,49.8533,Azerbaijan,25/06/2017,http://en.wikipedia.org/wiki/2017_Azerbaijan_Grand_Prix
2017,9,Austrian Grand Prix,red_bull_ring,47.2197,14.7647,Austria,09/07/2017,http://en.wikipedia.org/wiki/2017_Austrian_Grand_Prix
2017,10,British Grand Prix,silverstone,52.0786,-1.01694,UK,16/07/2017,http://en.wikipedia.org/wiki/2017_British_Grand_Prix
2017,11,Hungarian Grand Prix,hungaroring,47.5789,19.2486,Hungary,30/07/2017,http://en.wikipedia.org/wiki/2017_Hungarian_Grand_Prix
2017,12,Belgian Grand Prix,spa,50.4372,5.97139,Belgium,27/08/2017,http://en.wikipedia.org/wiki/2017_Belgian_Grand_Prix
2017,13,Italian Grand Prix,monza,45.6156,9.28111,Italy,03/09/2017,http://en.wikipedia.org/wiki/2017_Italian_Grand_Prix
2017,14,Singapore Grand Prix,marina_bay,1.2914,103.864,Singapore,17/09/2017,http://en.wikipedia.org/wiki/2017_Singapore_Grand_Prix
2017,15,Malaysian Grand Prix,sepang,2.76083,101.738,Malaysia,01/10/2017,http://en.wikipedia.org/wiki/2017_Malaysian_Grand_Prix
2017,16,Japanese Grand Prix,suzuka,34.8431,136.541,Japan,08/10/2017,http://en.wikipedia.org/wiki/2017_Japanese_Grand_Prix
2017,17,United States Grand Prix,americas,30.1328,-97.6411,USA,22/10/2017,http://en.wikipedia.org/wiki/2017_United_States_Grand_Prix
2017,18,Mexican Grand Prix,rodriguez,19.4042,-99.0907,Mexico,29/10/2017,http://en.wikipedia.org/wiki/2017_Mexican_Grand_Prix
2017,19,Brazilian Grand Prix,interlagos,-23.7036,-46.6997,Brazil,12/11/2017,http://en.wikipedia.org/wiki/2017_Brazilian_Grand_Prix
2017,20,Abu Dhabi Grand Prix,yas_marina,24.4672,54.6031,UAE,26/11/2017,http://en.wikipedia.org/wiki/2017_Abu_Dhabi_Grand_Prix
2018,1,Australian Grand Prix,albert_park,-37.8497,144.968,Australia,25/03/2018,http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix
2018,2,Bahrain Grand Prix,bahrain,26.0325,50.5106,Bahrain,08/04/2018,http://en.wikipedia.org/wiki/2018_Bahrain_Grand_Prix
2018,3,Chinese Grand Prix,shanghai,31.3389,121.22,China,15/04/2018,http://en.wikipedia.org/wiki/2018_Chinese_Grand_Prix
2018,4,Azerbaijan Grand Prix,baku,40.3725,49.8533,Azerbaijan,29/04/2018,http://en.wikipedia.org/wiki/2018_Azerbaijan_Grand_Prix
2018,5,Spanish Grand Prix,catalunya,41.57,2.26111,Spain,13/05/2018,http://en.wikipedia.org/wiki/2018_Spanish_Grand_Prix
2018,6,Monaco Grand Prix,monaco,43.7347,7.42056,Monaco,27/05/2018,http://en.wikipedia.org/wiki/2018_Monaco_Grand_Prix
2018,7,Canadian Grand Prix,villeneuve,45.5,-73.5228,Canada,10/06/2018,http://en.wikipedia.org/wiki/2018_Canadian_Grand_Prix
2018,8,French Grand Prix,ricard,43.2506,5.79167,France,24/06/2018,http://en.wikipedia.org/wiki/2018_French_Grand_Prix
2018,9,Austrian Grand Prix,red_bull_ring,47.2197,14.7647,Austria,01/07/2018,http://en.wikipedia.org/wiki/2018_Austrian_Grand_Prix
2018,10,British Grand Prix,silverstone,52.0786,-1.01694,UK,08/07/2018,http://en.wikipedia.org/wiki/2018_British_Grand_Prix
2018,11,German Grand Prix,hockenheimring,49.3278,8.56583,Germany,22/07/2018,http://en.wikipedia.org/wiki/2018_German_Grand_Prix
2018,12,Hungarian Grand Prix,hungaroring,47.5789,19.2486,Hungary,29/07/2018,http://en.wikipedia.org/wiki/2018_Hungarian_Grand_Prix
2018,13,Belgian Grand Prix,spa,50.4372,5.97139,Belgium,26/08/2018,http://en.wikipedia.org/wiki/2018_Belgian_Grand_Prix
2018,14,Italian Grand Prix,monza,45.6156,9.28111,Italy,02/09/2018,http://en.wikipedia.org/wiki/2018_Italian_Grand_Prix
2018,15,Singapore Grand Prix,marina_bay,1.2914,103.864,Singapore,16/09/2018,http://en.wikipedia.org/wiki/2018_Singapore_Grand_Prix
2018,16,Russian Grand Prix,sochi,43.4057,39.9578,Russia,30/09/2018,http://en.wikipedia.org/wiki/2018_Russian_Grand_Prix
2018,17,Japanese Grand Prix,suzuka,34.8431,136.541,Japan,07/10/2018,http://en.wikipedia.org/wiki/2018_Japanese_Grand_Prix
2018,18,United States Grand Prix,americas,30.1328,-97.6411,USA,21/10/2018,http://en.wikipedia.org/wiki/2018_United_States_Grand_Prix
2018,19,Mexican Grand Prix,rodriguez,19.4042,-99.0907,Mexico,28/10/2018,http://en.wikipedia.org/wiki/2018_Mexican_Grand_Prix
2018,20,Brazilian Grand Prix,interlagos,-23.7036,-46.6997,Brazil,11/11/2018,http://en.wikipedia.org/wiki/2018_Brazilian_Grand_Prix
2018,21,Abu Dhabi Grand Prix,yas_marina,24.4672,54.6031,UAE,25/11/2018,http://en.wikipedia.org/wiki/2018_Abu_Dhabi_Grand_Prix
2019,1,Australian Grand Prix,albert_park,-37.8497,144.968,Australia,17/03/2019,http://en.wikipedia.org/wiki/2019_Australian_Grand_Prix
2019,2,Bahrain Grand Prix,bahrain,26.0325,50.5106,Bahrain,31/03/2019,http://en.wikipedia.org/wiki/2019_Bahrain_Grand_Prix
2019,3,Chinese Grand Prix,shanghai,31.3389,121.22,China,14/04/2019,http://en.wikipedia.org/wiki/2019_Chinese_Grand_Prix
2019,4,Azerbaijan Grand Prix,baku,40.3725,49.8533,Azerbaijan,28/04/2019,http://en.wikipedia.org/wiki/2019_Azerbaijan_Grand_Prix
2019,5,Spanish Grand Prix,catalunya,41.57,2.26111,Spain,12/05/2019,http://en.wikipedia.org/wiki/2019_Spanish_Grand_Prix
2019,6,Monaco Grand Prix,monaco,43.7347,7.42056,Monaco,26/05/2019,http://en.wikipedia.org/wiki/2019_Monaco_Grand_Prix
2019,7,Canadian Grand Prix,villeneuve,45.5,-73.5228,Canada,09/06/2019,http://en.wikipedia.org/wiki/2019_Canadian_Grand_Prix
2019,8,French Grand Prix,ricard,43.2506,5.79167,France,23/06/2019,http://en.wikipedia.org/wiki/2019_French_Grand_Prix
2019,9,Austrian Grand Prix,red_bull_ring,47.2197,14.7647,Austria,30/06/2019,http://en.wikipedia.org/wiki/2019_Austrian_Grand_Prix
2019,10,British Grand Prix,silverstone,52.0786,-1.01694,UK,14/07/2019,http://en.wikipedia.org/wiki/2019_British_Grand_Prix
2019,11,German Grand Prix,hockenheimring,49.3278,8.56583,Germany,28/07/2019,http://en.wikipedia.org/wiki/2019_German_Grand_Prix
2019,12,Hungarian Grand Prix,hungaroring,47.5789,19.2486,Hungary,04/08/2019,http://en.wikipedia.org/wiki/2019_Hungarian_Grand_Prix
